Round,Type,AvgTrust
1,Honest,200.00
1,Oscillating,200.00
1,Stealth,189.50
1,Sybil,119.00
1,RandomFault,191.90
2,Honest,200.00
2,Oscillating,200.00
2,Stealth,189.13
2,Sybil,119.00
2,RandomFault,187.85
3,Honest,200.00
3,Oscillating,200.00
3,Stealth,189.80
3,Sybil,119.00
3,RandomFault,191.90
4,Honest,200.00
4,Oscillating,200.00
4,Stealth,189.50
4,Sybil,119.00
4,RandomFault,195.95
5,Honest,200.00
5,Oscillating,200.00
5,Stealth,189.40
5,Sybil,119.00
5,RandomFault,191.90
6,Honest,200.00
6,Oscillating,200.00
6,Stealth,189.67
6,Sybil,119.00
6,RandomFault,191.90
7,Honest,200.00
7,Oscillating,200.00
7,Stealth,189.90
7,Sybil,119.00
7,RandomFault,179.75
8,Honest,200.00
8,Oscillating,200.00
8,Stealth,189.70
8,Sybil,119.00
8,RandomFault,187.85
9,Honest,200.00
9,Oscillating,200.00
9,Stealth,189.40
9,Sybil,119.00
9,RandomFault,191.90
10,Honest,200.00
10,Oscillating,200.00
10,Stealth,189.73
10,Sybil,119.00
10,RandomFault,187.85
11,Honest,200.00
11,Oscillating,200.00
11,Stealth,189.43
11,Sybil,143.30
11,RandomFault,187.85
12,Honest,200.00
12,Oscillating,200.00
12,Stealth,189.50
12,Sybil,119.00
12,RandomFault,183.80
13,Honest,200.00
13,Oscillating,135.00
13,Stealth,189.77
13,Sybil,119.00
13,RandomFault,195.95
14,Honest,200.00
14,Oscillating,135.00
14,Stealth,189.20
14,Sybil,119.00
14,RandomFault,195.95
15,Honest,200.00
15,Oscillating,135.00
15,Stealth,189.23
15,Sybil,119.00
15,RandomFault,187.85
16,Honest,200.00
16,Oscillating,135.00
16,Stealth,189.20
16,Sybil,155.45
16,RandomFault,191.90
17,Honest,200.00
17,Oscillating,135.00
17,Stealth,189.70
17,Sybil,119.00
17,RandomFault,195.95
18,Honest,200.00
18,Oscillating,135.00
18,Stealth,189.27
18,Sybil,119.00
18,RandomFault,191.90
19,Honest,200.00
19,Oscillating,135.00
19,Stealth,189.53
19,Sybil,119.00
19,RandomFault,187.85
20,Honest,200.00
20,Oscillating,200.00
20,Stealth,189.37
20,Sybil,119.00
20,RandomFault,191.90
21,Honest,200.00
21,Oscillating,200.00
21,Stealth,189.50
21,Sybil,159.50
21,RandomFault,191.90
22,Honest,200.00
22,Oscillating,200.00
22,Stealth,190.00
22,Sybil,119.00
22,RandomFault,200.00
23,Honest,200.00
23,Oscillating,200.00
23,Stealth,189.77
23,Sybil,119.00
23,RandomFault,195.95
24,Honest,200.00
24,Oscillating,200.00
24,Stealth,189.30
24,Sybil,119.00
24,RandomFault,183.80
25,Honest,200.00
25,Oscillating,200.00
25,Stealth,189.73
25,Sybil,119.00
25,RandomFault,187.85
26,Honest,200.00
26,Oscillating,200.00
26,Stealth,189.63
26,Sybil,127.10
26,RandomFault,191.90
27,Honest,200.00
27,Oscillating,200.00
27,Stealth,189.53
27,Sybil,119.00
27,RandomFault,187.85
28,Honest,200.00
28,Oscillating,200.00
28,Stealth,189.53
28,Sybil,119.00
28,RandomFault,187.85
29,Honest,200.00
29,Oscillating,200.00
29,Stealth,189.80
29,Sybil,119.00
29,RandomFault,187.85
30,Honest,200.00
30,Oscillating,200.00
30,Stealth,189.23
30,Sybil,119.00
30,RandomFault,200.00
31,Honest,200.00
31,Oscillating,200.00
31,Stealth,189.03
31,Sybil,135.20
31,RandomFault,183.80
32,Honest,200.00
32,Oscillating,200.00
32,Stealth,189.27
32,Sybil,119.00
32,RandomFault,191.90
33,Honest,200.00
33,Oscillating,135.00
33,Stealth,189.33
33,Sybil,119.00
33,RandomFault,191.90
34,Honest,200.00
34,Oscillating,135.00
34,Stealth,189.30
34,Sybil,119.00
34,RandomFault,191.90
35,Honest,200.00
35,Oscillating,135.00
35,Stealth,189.33
35,Sybil,119.00
35,RandomFault,191.90
36,Honest,200.00
36,Oscillating,135.00
36,Stealth,189.17
36,Sybil,159.50
36,RandomFault,195.95
37,Honest,200.00
37,Oscillating,135.00
37,Stealth,189.40
37,Sybil,119.00
37,RandomFault,195.95
38,Honest,200.00
38,Oscillating,135.00
38,Stealth,189.17
38,Sybil,119.00
38,RandomFault,187.85
39,Honest,200.00
39,Oscillating,135.00
39,Stealth,189.33
39,Sybil,119.00
39,RandomFault,171.65
40,Honest,200.00
40,Oscillating,200.00
40,Stealth,189.50
40,Sybil,119.00
40,RandomFault,195.95
41,Honest,200.00
41,Oscillating,200.00
41,Stealth,189.73
41,Sybil,139.25
41,RandomFault,191.90
42,Honest,200.00
42,Oscillating,200.00
42,Stealth,189.93
42,Sybil,119.00
42,RandomFault,183.80
43,Honest,200.00
43,Oscillating,200.00
43,Stealth,189.37
43,Sybil,119.00
43,RandomFault,191.90
44,Honest,200.00
44,Oscillating,200.00
44,Stealth,189.50
44,Sybil,119.00
44,RandomFault,191.90
45,Honest,200.00
45,Oscillating,200.00
45,Stealth,189.33
45,Sybil,119.00
45,RandomFault,183.80
46,Honest,200.00
46,Oscillating,200.00
46,Stealth,189.80
46,Sybil,131.15
46,RandomFault,200.00
47,Honest,200.00
47,Oscillating,200.00
47,Stealth,189.67
47,Sybil,119.00
47,RandomFault,195.95
48,Honest,200.00
48,Oscillating,200.00
48,Stealth,189.40
48,Sybil,119.00
48,RandomFault,200.00
49,Honest,200.00
49,Oscillating,200.00
49,Stealth,189.60
49,Sybil,119.00
49,RandomFault,200.00
50,Honest,200.00
50,Oscillating,200.00
50,Stealth,189.70
50,Sybil,119.00
50,RandomFault,191.90
51,Honest,200.00
51,Oscillating,200.00
51,Stealth,189.57
51,Sybil,143.30
51,RandomFault,200.00
52,Honest,200.00
52,Oscillating,200.00
52,Stealth,189.30
52,Sybil,119.00
52,RandomFault,187.85
53,Honest,200.00
53,Oscillating,135.00
53,Stealth,189.40
53,Sybil,119.00
53,RandomFault,187.85
54,Honest,200.00
54,Oscillating,135.00
54,Stealth,189.50
54,Sybil,119.00
54,RandomFault,183.80
55,Honest,200.00
55,Oscillating,135.00
55,Stealth,189.37
55,Sybil,119.00
55,RandomFault,187.85
56,Honest,200.00
56,Oscillating,135.00
56,Stealth,189.30
56,Sybil,147.35
56,RandomFault,195.95
57,Honest,200.00
57,Oscillating,135.00
57,Stealth,189.57
57,Sybil,119.00
57,RandomFault,187.85
58,Honest,200.00
58,Oscillating,135.00
58,Stealth,189.47
58,Sybil,119.00
58,RandomFault,191.90
59,Honest,200.00
59,Oscillating,135.00
59,Stealth,189.83
59,Sybil,119.00
59,RandomFault,200.00
60,Honest,200.00
60,Oscillating,200.00
60,Stealth,189.67
60,Sybil,119.00
60,RandomFault,191.90
61,Honest,200.00
61,Oscillating,200.00
61,Stealth,189.57
61,Sybil,143.30
61,RandomFault,195.95
62,Honest,200.00
62,Oscillating,200.00
62,Stealth,189.63
62,Sybil,119.00
62,RandomFault,191.90
63,Honest,200.00
63,Oscillating,200.00
63,Stealth,189.47
63,Sybil,119.00
63,RandomFault,200.00
64,Honest,200.00
64,Oscillating,200.00
64,Stealth,189.37
64,Sybil,119.00
64,RandomFault,191.90
65,Honest,200.00
65,Oscillating,200.00
65,Stealth,189.27
65,Sybil,119.00
65,RandomFault,195.95
66,Honest,200.00
66,Oscillating,200.00
66,Stealth,189.67
66,Sybil,139.25
66,RandomFault,195.95
67,Honest,200.00
67,Oscillating,200.00
67,Stealth,189.60
67,Sybil,119.00
67,RandomFault,187.85
68,Honest,200.00
68,Oscillating,200.00
68,Stealth,189.27
68,Sybil,119.00
68,RandomFault,195.95
69,Honest,200.00
69,Oscillating,200.00
69,Stealth,189.30
69,Sybil,119.00
69,RandomFault,183.80
70,Honest,200.00
70,Oscillating,200.00
70,Stealth,189.23
70,Sybil,119.00
70,RandomFault,195.95
71,Honest,200.00
71,Oscillating,200.00
71,Stealth,189.47
71,Sybil,143.30
71,RandomFault,187.85
72,Honest,200.00
72,Oscillating,200.00
72,Stealth,189.20
72,Sybil,119.00
72,RandomFault,187.85
73,Honest,200.00
73,Oscillating,135.00
73,Stealth,189.47
73,Sybil,119.00
73,RandomFault,187.85
74,Honest,200.00
74,Oscillating,135.00
74,Stealth,189.70
74,Sybil,119.00
74,RandomFault,175.70
75,Honest,200.00
75,Oscillating,135.00
75,Stealth,189.40
75,Sybil,119.00
75,RandomFault,187.85
76,Honest,200.00
76,Oscillating,135.00
76,Stealth,189.53
76,Sybil,127.10
76,RandomFault,195.95
77,Honest,200.00
77,Oscillating,135.00
77,Stealth,189.63
77,Sybil,119.00
77,RandomFault,195.95
78,Honest,200.00
78,Oscillating,135.00
78,Stealth,189.33
78,Sybil,119.00
78,RandomFault,191.90
79,Honest,200.00
79,Oscillating,135.00
79,Stealth,189.57
79,Sybil,119.00
79,RandomFault,187.85
80,Honest,200.00
80,Oscillating,200.00
80,Stealth,189.27
80,Sybil,119.00
80,RandomFault,200.00
81,Honest,200.00
81,Oscillating,200.00
81,Stealth,189.77
81,Sybil,143.30
81,RandomFault,187.85
82,Honest,200.00
82,Oscillating,200.00
82,Stealth,189.47
82,Sybil,119.00
82,RandomFault,191.90
83,Honest,200.00
83,Oscillating,200.00
83,Stealth,189.40
83,Sybil,119.00
83,RandomFault,187.85
84,Honest,200.00
84,Oscillating,200.00
84,Stealth,189.73
84,Sybil,119.00
84,RandomFault,183.80
85,Honest,200.00
85,Oscillating,200.00
85,Stealth,189.83
85,Sybil,119.00
85,RandomFault,191.90
86,Honest,200.00
86,Oscillating,200.00
86,Stealth,189.23
86,Sybil,143.30
86,RandomFault,187.85
87,Honest,200.00
87,Oscillating,200.00
87,Stealth,189.33
87,Sybil,119.00
87,RandomFault,191.90
88,Honest,200.00
88,Oscillating,200.00
88,Stealth,189.60
88,Sybil,119.00
88,RandomFault,195.95
89,Honest,200.00
89,Oscillating,200.00
89,Stealth,189.57
89,Sybil,119.00
89,RandomFault,191.90
90,Honest,200.00
90,Oscillating,200.00
90,Stealth,189.80
90,Sybil,119.00
90,RandomFault,191.90
91,Honest,200.00
91,Oscillating,200.00
91,Stealth,189.57
91,Sybil,139.25
91,RandomFault,195.95
92,Honest,200.00
92,Oscillating,200.00
92,Stealth,189.33
92,Sybil,119.00
92,RandomFault,187.85
93,Honest,200.00
93,Oscillating,135.00
93,Stealth,189.77
93,Sybil,119.00
93,RandomFault,179.75
94,Honest,200.00
94,Oscillating,135.00
94,Stealth,189.17
94,Sybil,119.00
94,RandomFault,195.95
95,Honest,200.00
95,Oscillating,135.00
95,Stealth,189.40
95,Sybil,119.00
95,RandomFault,187.85
96,Honest,200.00
96,Oscillating,135.00
96,Stealth,189.37
96,Sybil,143.30
96,RandomFault,191.90
97,Honest,200.00
97,Oscillating,135.00
97,Stealth,189.53
97,Sybil,119.00
97,RandomFault,195.95
98,Honest,200.00
98,Oscillating,135.00
98,Stealth,189.30
98,Sybil,119.00
98,RandomFault,195.95
99,Honest,200.00
99,Oscillating,135.00
99,Stealth,189.30
99,Sybil,119.00
99,RandomFault,183.80
100,Honest,200.00
100,Oscillating,200.00
100,Stealth,189.80
100,Sybil,119.00
100,RandomFault,179.75
